"Track Number","Track Name","Track Artist","Discogs","YouTube","Apple","Spotify","","","","","","","","","","","","","","","","","","",""
"1","promo1 ","","n/a","","n/a","","","","","","","","","","","","","","","","","","","",""
"2","promo2","","n/a","","n/a","","","","","","","","","","","","","","","","","","","",""
"3","Sky Blue","Jamie Myserson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","Jamie Myerson - Sky Blue","n/a","https://open.spotify.com/track/0fZTgg3myT66xokM5Z7Okt?si=fc78d3eba99a498a","","","","","","","","","","","","","","","","","","",""
"4","Everything is Gonna Be Alright","Jamie Myerson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"5","You're My Life (incomplete)","Jamie Myerson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"6","Unity Gain (incomplete)","Jamie Myerson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"7","You're My Life","Jamie Myerson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"8","Crucial","Jamie Myerson","Jamie Myerson – The Listen Project (1998, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"9","promo 3","","","","n/a","","","","","","","","","","","","","","","","","","","",""
"10","Artificial Life","Odyssey","LTJ Bukem - Earth Volume Two | Releases | Discogs","","https://music.apple.com/ie/album/artificial-life/595866402?i=595866483","","","","","","","","","","","","","","","","","","","",""
"11","Piano (The Green Stinky Mix)","Tricky","Tricky – Makes Me Wanna Die (1997, CD2, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"12","Arboleda de Manzanitas (Drum & Bass Mix)","Eighty Mile Beach","Eighty Mile Beach – Arboleda De Manzanitas (1997, Vinyl) - Discogsda-De-Manzanitas","","https://music.apple.com/ie/album/arboleda-de-manzanitas-drum-bass-mix/439852478?i=439852488","","","","","","","","","","","","","","","","","","","",""
"13","Senses","DJ Addiction","LTJ Bukem - Earth Volume Two | Releases | Discogs","","https://music.apple.com/ie/album/senses/595866402?i=595866531","","","","","","","","","","","","","","","","","","","",""
"14","Stay (The Midnight Rockers Remix)","Me'Shell NdegéOcello","Me'Shell NdegéOcello – Stay (1996, CD) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"15","Mind Games","DJ Crystl","LTJ Bukem - Earth Volume Two | Releases | Discogs","","https://music.apple.com/ie/album/mindgames/595866402?i=595866533","","","","","","","","","","","","","","","","","","","",""
"16","The Rope-A-Dope ","Skyjuice","Various - No Categories: A Ubiquity Compilation | Releases | Discogs","","https://music.apple.com/ie/album/the-rope-a-dope/1523400564?i=1523400878","","","","","","","","","","","","","","","","","","","",""
"17","On & On (Blu Mar Ten Remix)","Erykah Badu","Erykah Badu – On & On (1997, Vinyl) - Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"18","The Oracle (Extended Instrumental Remix)","Bugs","Various - No Categories: A Ubiquity Compilation | Releases | Discogs","","https://music.apple.com/ie/album/the-oracle-extended-instrumental-remix/1523400564?i=1523400571","","","","","","","","","","","","","","","","","","","",""
"19","James Bond Theme (Stephane Malca Remix)","Monty Norman","Various - Serialement Vôtre | Releases | Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"20","Twin Peaks (Alëem Remix)","Angelo Badalamenti & David Lynch","Various - Serialement Vôtre | Releases | Discogs","","n/a","","","","","","","","","","","","","","","","","","","",""
"21","J-Walkin'","Blame","LTJ Bukem - Earth Volume Two | Releases | Discogs","","https://music.apple.com/ie/album/j-walkin/595866402?i=595866484","","","","","","","","","","","","","","","","","","","",""
"22","Junkle I","Castillo","Callisto – The Paradigm EP (1997, Vinyl) - Discogs","","https://music.apple.com/ie/album/junkle-i/995101816?i=995101825","","","","","","","","","","","","","","","","","","","",""
"23","63rd Suite","The Amalgamation of Soundz","The Amalgamation Of Soundzundz-Amalgamation-Of-Soundz","","https://music.apple.com/ie/album/63rd-suite/5575733?i=5575727","","","","","","","","","","","","","","","","","","","",""
"24","Shoeshiner","Crash","Various - Shake The Bones | Releases | Discogss","https://www.youtube.com/watch?v=1Qjvdx4TUr8","n/a","","","","","","","","","","","","","","","","","","","",""
"25","Happy Baby","Spring Heel Jack","Spring Heel Jack - Busy Curious Thirsty | Releases | Discogsurious-Thirsty","","n/a","","","","","","","","","","","","","","","","","","","",""
"26","Serious Intent","Endemic Void","Endemic Void - Equations | Releases | Discogs","","https://music.apple.com/ie/album/serious-intent/209772259?i=209772566","","","","","","","","","","","","","","","","","","","",""
"27","Cruzer","Cujo","Cujo – Adventures In Foam (1997, CD) - DiscogsFoam","","","","","","","","","","","","","","","","","","","","","",""
"28","At Home With The Snake","Spaceways","Spaceways - Trad | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"29","Queen of the Ghetto (Ghetto Defendant)","Rockers Hi-Fi","Rockers Hi-Fi – Mish Mash (1997, CD) - Discogs","","","","","","","","","","","","","","","","","","","","","",""
"30","Crusoe Takes A Trip","Red Snapper","Red Snapper - Prince Blimey | Releases | Discogsey","","","","","","","","","","","","","","","","","","","","","",""
"31","Promo4 Peace","Net Radio","","","","","","","","","","","","","","","","","","","","","","",""
"32","Crystal Blue","Skycutter & Kiki Mojo","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"33","Problem Child","Squarepusher","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"34","You Talking To Me?","The Advocate","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"35","Circuit Breaker","Decoder","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"36","The Reckoning","Slak & Snuggles","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"37","Input","Fierce & Nico","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"38","Dark Fader","Friends, Lovers & Family","Various - Infinite Beat Vol. 1 | Releases | Discogs","","","","","","","","","","","","","","","","","","","","","",""
"39","Promo5 Club Groove","Net Radio","","","","","","","","","","","","","","","","","","","","","","",""
"40","Hopeless","David Kristian","Various - Ultra Mix Drum & Bass | Releases | Discogsous-Ultra-Mix-Drum-Bass","","","","","","","","","","","","","","","","","","","","","",""
"41","Strength","The Sonar Circle","Various - Ultra Mix Drum & Bass | Releases | Discogsous-Ultra-Mix-Drum-Bass","","","","","","","","","","","","","","","","","","","","","",""
